sale_id,customer_id,vehicle_id,dealer_id,sale_date,sale_price
S0085,C0085,V0085,D003,2024-11-05,2779090
S0086,C0086,V0086,D006,2023-08-28,1885072
S0087,C0087,V0087,D008,2024-07-15,750732
S0088,C0088,V0088,D005,2024-01-20,2755432
S0089,C0089,V0089,D003,2024-10-06,1470954
S0090,C0090,V0090,D002,2023-11-29,1390716
S0091,C0091,V0091,D002,2024-05-10,2759633
S0092,C0092,V0092,D010,2024-09-26,653402
S0093,C0093,V0093,D009,2023-02-15,2371859
S0094,C0094,V0094,D004,2023-09-21,789544
S0095,C0095,V0095,D010,2023-10-12,874859
S0096,C0096,V0096,D007,2023-02-12,1890014
S0097,C0097,V0097,D009,2024-02-25,1172651
S0098,C0098,V0098,D007,2024-02-09,774013
S0099,C0099,V0099,D005,2023-04-14,1883210
S0100,C0100,V0100,D010,2023-07-18,2375551
S0101,C0101,V0101,D001,2024-04-17,1382539
S0102,C0102,V0102,D008,2024-01-26,1440829
S0103,C0103,V0103,D003,2024-02-28,1361601
S0104,C0104,V0104,D003,2024-04-18,1886870
S0105,C0105,V0105,D006,2024-02-20,781699
S0106,C0106,V0106,D007,2023-07-27,838655
S0107,C0107,V0107,D008,2024-06-26,2738233
S0108,C0108,V0108,D004,2024-10-04,2371065
S0109,C0109,V0109,D008,2023-05-18,823343
S0110,C0110,V0110,D005,2024-01-19,1348108
S0111,C0111,V0111,D009,2023-06-08,836598
S0112,C0112,V0112,D005,2024-09-23,1445602
S0113,C0113,V0113,D003,2023-07-14,1127691
S0114,C0114,V0114,D009,2024-07-20,1476454
S0115,C0115,V0115,D009,2024-11-10,1365661
S0116,C0116,V0116,D004,2024-01-25,795454
S0117,C0117,V0117,D005,2023-12-02,2752081
S0118,C0118,V0118,D007,2024-06-09,1843185
S0119,C0119,V0119,D003,2023-10-04,2382245
S0120,C0120,V0120,D002,2023-08-04,1856147
S0121,C0121,V0121,D002,2023-01-09,824073
S0122,C0122,V0122,D010,2023-06-22,768692
S0123,C0123,V0123,D006,2024-08-23,1464266
S0124,C0124,V0124,D010,2023-09-16,802553
S0125,C0125,V0125,D007,2024-05-15,708698
S0126,C0126,V0126,D004,2023-01-31,1364357
S0127,C0127,V0127,D008,2023-05-05,711880
S0128,C0128,V0128,D009,2024-04-24,2750822
S0129,C0129,V0129,D002,2024-04-05,2358786
S0130,C0130,V0130,D008,2023-12-31,1384485
S0131,C0131,V0131,D010,2024-03-16,891620
S0132,C0132,V0132,D009,2024-03-14,1367069
S0133,C0133,V0133,D010,2023-04-24,835268
S0134,C0134,V0134,D007,2024-05-24,1361835
S0135,C0135,V0135,D006,2023-12-03,702731
S0136,C0136,V0136,D006,2023-07-25,778129
S0137,C0137,V0137,D007,2023-08-02,688639
S0138,C0138,V0138,D001,2024-11-07,1142213
S0139,C0139,V0139,D007,2024-12-12,850557
S0140,C0140,V0140,D002,2024-10-22,879789
S0141,C0141,V0141,D002,2024-07-26,669741
S0142,C0142,V0142,D001,2023-02-22,840149
S0143,C0143,V0143,D009,2023-11-25,826144
S0144,C0144,V0144,D004,2023-12-05,815642
S0145,C0145,V0145,D001,2023-03-22,1166858
S0146,C0146,V0146,D007,2023-12-30,781337
S0147,C0147,V0147,D010,2023-01-27,2733954
S0148,C0148,V0148,D004,2023-03-31,2372542
S0149,C0149,V0149,D006,2023-06-25,666358
S0150,C0150,V0150,D010,2023-09-29,1147085
S0151,C0151,V0151,D010,2023-05-20,852057
S0152,C0152,V0152,D005,2023-08-14,864360
S0153,C0153,V0153,D010,2024-06-07,668398
S0154,C0154,V0154,D008,2024-02-28,2728745
S0155,C0155,V0155,D004,2023-01-03,833002
S0156,C0156,V0156,D006,2024-05-23,1478785
S0157,C0157,V0157,D004,2024-08-07,2340672
S0158,C0158,V0158,D009,2023-02-23,866235
S0159,C0159,V0159,D006,2023-02-11,1843860
S0160,C0160,V0160,D003,2023-04-19,1431714
S0161,C0161,V0161,D009,2024-04-23,830687
S0162,C0162,V0162,D009,2023-04-25,2349432
S0163,C0163,V0163,D001,2023-10-25,665013
S0164,C0164,V0164,D009,2024-04-12,2780964
S0165,C0165,V0165,D002,2023-09-15,1828629
S0166,C0166,V0166,D003,2023-08-21,2389684
S0167,C0167,V0167,D003,2024-04-20,1430804
S0168,C0168,V0168,D003,2023-04-28,825302
S0169,C0169,V0169,D009,2023-04-20,688098
S0170,C0170,V0170,D008,2023-02-19,2770672
S0171,C0171,V0171,D001,2023-01-04,1846088
S0172,C0172,V0172,D003,2023-06-18,691364
S0173,C0173,V0173,D004,2023-06-10,2394501
S0174,C0174,V0174,D001,2024-07-08,1338854
S0175,C0175,V0175,D006,2023-05-26,787312
S0176,C0176,V0176,D004,2023-09-30,764040
S0177,C0177,V0177,D010,2024-09-05,1856645
S0178,C0178,V0178,D004,2024-02-17,1888609
S0179,C0179,V0179,D002,2024-07-19,698672
S0180,C0180,V0180,D010,2024-02-12,1145796
S0181,C0181,V0181,D001,2024-11-16,1474006
S0182,C0182,V0182,D002,2023-03-15,731047
S0183,C0183,V0183,D002,2023-07-10,2389549
S0184,C0184,V0184,D001,2023-11-20,1137092
S0185,C0185,V0185,D005,2023-12-19,1825303
S0186,C0186,V0186,D006,2023-10-31,1486567
S0187,C0187,V0187,D001,2023-08-15,891217
S0188,C0188,V0188,D003,2023-10-13,1864913
S0189,C0189,V0189,D005,2023-04-27,844983
S0190,C0190,V0190,D009,2024-05-31,1428057
S0191,C0191,V0191,D010,2023-03-02,1449685
S0192,C0192,V0192,D007,2024-12-04,860039
S0193,C0193,V0193,D008,2024-10-18,2332177
S0194,C0194,V0194,D006,2024-11-17,841461
S0195,C0195,V0195,D003,2024-08-10,1433534
S0196,C0196,V0196,D010,2024-11-24,1376871
S0197,C0197,V0197,D007,2023-10-11,1856410
S0198,C0198,V0198,D004,2023-02-19,2726974
S0199,C0199,V0199,D005,2023-02-24,861394
S0200,C0200,V0200,D005,2024-06-25,847677
S0201,C0201,V0201,D009,2023-03-24,1382430
S0202,C0202,V0202,D004,2024-12-09,786851
S0203,C0203,V0203,D007,2023-10-02,833524
S0204,C0204,V0204,D002,2024-11-11,2376366
S0205,C0205,V0205,D003,2023-09-15,1333553
S0206,C0206,V0206,D003,2023-11-22,2758748
S0207,C0207,V0207,D005,2024-04-30,775339
S0208,C0208,V0208,D009,2024-07-19,1461712
S0209,C0209,V0209,D004,2024-11-16,1365989
S0210,C0210,V0210,D008,2023-05-22,1492991
S0211,C0211,V0211,D004,2023-07-25,1387807
S0212,C0212,V0212,D006,2023-07-30,1189059
S0213,C0213,V0213,D006,2023-06-03,2786017
S0214,C0214,V0214,D010,2024-04-20,1831096
S0215,C0215,V0215,D007,2023-06-30,2340282
S0216,C0216,V0216,D007,2023-07-15,1884861
S0217,C0217,V0217,D009,2024-11-28,2381956
S0218,C0218,V0218,D002,2024-10-22,758485
S0219,C0219,V0219,D009,2024-12-25,2754101
S0220,C0220,V0220,D006,2023-07-27,1451936
S0221,C0221,V0221,D007,2023-06-09,1863462
S0222,C0222,V0222,D005,2024-02-16,850790
S0223,C0223,V0223,D006,2024-04-13,767553
S0224,C0224,V0224,D006,2023-07-13,1429113
S0225,C0225,V0225,D010,2023-02-03,794942
S0226,C0226,V0226,D008,2024-05-13,652966
S0227,C0227,V0227,D008,2024-03-02,2370085
S0228,C0228,V0228,D006,2024-10-29,757562
S0229,C0229,V0229,D006,2023-02-09,2391968
S0230,C0230,V0230,D004,2024-12-25,873814
S0231,C0231,V0231,D008,2023-05-23,793025
S0232,C0232,V0232,D004,2024-08-13,1425635
S0233,C0233,V0233,D010,2023-12-25,788911
S0234,C0234,V0234,D007,2023-05-03,1159491
S0235,C0235,V0235,D008,2023-10-18,2794493
S0236,C0236,V0236,D002,2023-10-12,1329991
S0237,C0237,V0237,D005,2023-07-29,2771925
S0238,C0238,V0238,D002,2024-06-11,1394413
S0239,C0239,V0239,D009,2023-12-07,2389815
S0240,C0240,V0240,D002,2024-08-23,1366702
S0241,C0241,V0241,D001,2023-10-03,1147653
S0242,C0242,V0242,D003,2024-10-20,1836900
S0243,C0243,V0243,D001,2023-10-14,839636
S0244,C0244,V0244,D009,2024-03-19,845659
S0245,C0245,V0245,D003,2024-01-25,834908
S0246,C0246,V0246,D005,2024-02-07,1872234
S0247,C0247,V0247,D008,2023-06-11,811590
S0248,C0248,V0248,D001,2023-03-26,860501
S0249,C0249,V0249,D009,2023-01-22,1444386
S0250,C0250,V0250,D001,2024-01-24,715079
S0251,C0251,V0251,D003,2023-03-29,671406
S0252,C0252,V0252,D002,2024-03-01,1354534
S0253,C0253,V0253,D002,2023-10-25,866062
S0254,C0254,V0254,D001,2024-05-07,741774
S0255,C0255,V0255,D003,2023-08-31,1357045
S0256,C0256,V0256,D010,2023-04-05,2745590
S0257,C0257,V0257,D010,2024-12-29,839818
S0258,C0258,V0258,D003,2024-06-23,830545
S0259,C0259,V0259,D008,2024-09-15,740014
S0260,C0260,V0260,D001,2023-01-08,705212
S0261,C0261,V0261,D007,2023-11-16,1371540
S0262,C0262,V0262,D009,2023-04-14,1460487
S0263,C0263,V0263,D001,2024-05-16,2339463
S0264,C0264,V0264,D002,2024-09-23,748908
S0265,C0265,V0265,D008,2024-11-06,1351246
S0266,C0266,V0266,D004,2023-02-21,2376971
S0267,C0267,V0267,D008,2023-04-30,825252
S0268,C0268,V0268,D005,2023-05-21,1426962
S0269,C0269,V0269,D009,2023-09-10,2780948
S0270,C0270,V0270,D006,2023-11-20,2345468
S0271,C0271,V0271,D007,2023-11-15,783209
S0272,C0272,V0272,D003,2023-06-06,1468413
S0273,C0273,V0273,D009,2023-02-28,651850
S0274,C0274,V0274,D002,2024-07-06,1163835
S0275,C0275,V0275,D007,2024-03-07,838113
S0276,C0276,V0276,D006,2023-12-04,774512
S0277,C0277,V0277,D002,2024-01-28,725815
S0278,C0278,V0278,D008,2023-01-31,649020
S0279,C0279,V0279,D003,2024-11-23,1890095
S0280,C0280,V0280,D007,2024-01-22,863124
S0281,C0281,V0281,D005,2024-01-25,1350580
S0282,C0282,V0282,D006,2024-08-17,2767591
S0283,C0283,V0283,D002,2024-09-27,2736999
S0284,C0284,V0284,D010,2024-06-24,2767527
S0285,C0285,V0285,D008,2024-09-07,664020
S0286,C0286,V0286,D010,2023-02-25,802062
S0287,C0287,V0287,D002,2024-12-12,761139
S0288,C0288,V0288,D004,2023-07-21,1439604
S0289,C0289,V0289,D002,2023-03-11,867128
S0290,C0290,V0290,D006,2023-09-20,2794595
S0291,C0291,V0291,D009,2024-08-27,711988
S0292,C0292,V0292,D001,2023-11-07,766294
S0293,C0293,V0293,D005,2023-05-30,885390
S0294,C0294,V0294,D009,2024-02-22,1840534
S0295,C0295,V0295,D004,2024-01-10,1189728
S0296,C0296,V0296,D007,2023-08-08,1165198
S0297,C0297,V0297,D007,2023-03-03,699885
S0298,C0298,V0298,D007,2023-11-11,844090
S0299,C0299,V0299,D004,2023-09-02,787176
S0300,C0300,V0300,D005,2023-05-11,797513
S0301,C0301,V0301,D010,2024-04-12,1179653
S0302,C0302,V0302,D008,2023-09-28,827155
S0303,C0303,V0303,D003,2023-02-14,2787869
S0304,C0304,V0304,D002,2024-10-11,2367665
S0305,C0305,V0305,D002,2023-02-26,2351801
S0306,C0306,V0306,D003,2023-06-03,2760260
S0307,C0307,V0307,D005,2024-10-09,1185587
S0308,C0308,V0308,D010,2023-01-22,1178695
S0309,C0309,V0309,D005,2023-04-04,2380091
S0310,C0310,V0310,D003,2023-07-27,1880728
S0311,C0311,V0311,D009,2023-12-26,2738903
S0312,C0312,V0312,D001,2023-03-01,810975
S0313,C0313,V0313,D001,2023-08-23,2377334
S0314,C0314,V0314,D009,2024-07-05,835422
S0315,C0315,V0315,D010,2024-12-08,844227
S0316,C0316,V0316,D009,2024-12-26,881524
S0317,C0317,V0317,D003,2023-01-16,862170
S0318,C0318,V0318,D007,2023-06-27,874924
S0319,C0319,V0319,D010,2024-08-16,863485
S0320,C0320,V0320,D008,2023-03-30,2379344
S0321,C0321,V0321,D010,2024-05-12,754021
S0322,C0322,V0322,D003,2023-01-29,1494720
S0323,C0323,V0323,D002,2023-02-12,844808
S0324,C0324,V0324,D008,2023-12-24,1460760
S0325,C0325,V0325,D009,2024-05-02,1447470
S0326,C0326,V0326,D005,2024-05-22,1391067
S0327,C0327,V0327,D010,2023-10-19,888827
S0328,C0328,V0328,D001,2023-08-15,1447523
S0329,C0329,V0329,D009,2023-11-19,890703
S0330,C0330,V0330,D006,2023-01-17,1167577
S0331,C0331,V0331,D005,2024-10-11,829740
S0332,C0332,V0332,D006,2024-10-23,2745660
S0333,C0333,V0333,D004,2024-01-13,851632
S0334,C0334,V0334,D007,2023-10-23,843906
S0335,C0335,V0335,D010,2024-11-07,740255
S0336,C0336,V0336,D003,2023-08-14,1470920
S0337,C0337,V0337,D003,2023-06-09,2725213
S0338,C0338,V0338,D007,2024-12-19,832449
S0339,C0339,V0339,D008,2023-02-04,1455448
S0340,C0340,V0340,D003,2023-12-08,720524
S0341,C0341,V0341,D010,2023-10-31,801598
S0342,C0342,V0342,D007,2024-09-17,679263
S0343,C0343,V0343,D007,2023-09-01,1142022
S0344,C0344,V0344,D005,2024-02-01,1385514
S0345,C0345,V0345,D009,2024-04-09,2739067
S0346,C0346,V0346,D002,2024-12-18,713836
S0347,C0347,V0347,D010,2023-11-02,1428397
S0348,C0348,V0348,D003,2024-06-14,2733068
S0349,C0349,V0349,D005,2024-05-21,702727
S0350,C0350,V0350,D002,2023-02-04,2385773
S0351,C0351,V0351,D010,2023-01-08,1828260
S0352,C0352,V0352,D002,2024-08-16,692235
S0353,C0353,V0353,D010,2023-10-24,692731
S0354,C0354,V0354,D007,2023-05-26,842077
S0355,C0355,V0355,D009,2023-02-26,1826771
S0356,C0356,V0356,D003,2023-07-05,1347372
S0357,C0357,V0357,D008,2024-02-05,683828
S0358,C0358,V0358,D001,2023-09-17,2734125
S0359,C0359,V0359,D001,2023-09-05,732300
S0360,C0360,V0360,D007,2023-11-17,711701
S0361,C0361,V0361,D001,2023-07-24,2384457
S0362,C0362,V0362,D009,2024-08-20,682760
S0363,C0363,V0363,D010,2023-09-07,662136
S0364,C0364,V0364,D006,2023-11-20,1146194
S0365,C0365,V0365,D002,2023-02-17,653420
S0366,C0366,V0366,D010,2024-12-18,1478061
S0367,C0367,V0367,D003,2023-01-04,1866500
S0368,C0368,V0368,D004,2024-09-14,2764745
S0369,C0369,V0369,D010,2023-11-11,1480338
S0370,C0370,V0370,D010,2023-09-27,1130149
S0371,C0371,V0371,D005,2023-11-18,1173905
S0372,C0372,V0372,D002,2024-06-30,673314
S0373,C0373,V0373,D007,2024-09-13,1361346
S0374,C0374,V0374,D004,2023-04-25,2779064
S0375,C0375,V0375,D008,2023-04-21,1170019
S0376,C0376,V0376,D007,2023-08-25,2383394
S0377,C0377,V0377,D008,2023-03-27,2759880
S0378,C0378,V0378,D006,2024-10-03,711324
S0379,C0379,V0379,D007,2024-09-14,1451067
S0380,C0380,V0380,D007,2024-07-08,1345702
S0381,C0381,V0381,D007,2024-06-23,709129
S0382,C0382,V0382,D004,2024-06-13,894851
S0383,C0383,V0383,D001,2024-04-21,2784256
S0384,C0384,V0384,D008,2024-01-12,2355720
S0385,C0385,V0385,D007,2024-10-06,2325982
S0386,C0386,V0386,D009,2023-02-07,705616
S0387,C0387,V0387,D008,2023-03-27,695766
S0388,C0388,V0388,D002,2023-07-28,1460584
S0389,C0389,V0389,D010,2023-10-13,1851031
S0390,C0390,V0390,D005,2024-03-17,792721
S0391,C0391,V0391,D006,2024-02-17,1345766
S0392,C0392,V0392,D007,2023-05-19,1848901
S0393,C0393,V0393,D009,2023-08-24,2348735
S0394,C0394,V0394,D010,2023-04-09,1882042
S0395,C0395,V0395,D002,2024-03-03,1167205
S0396,C0396,V0396,D010,2024-01-03,1867366
S0397,C0397,V0397,D008,2023-12-28,1344068
S0398,C0398,V0398,D006,2024-09-05,729962
S0399,C0399,V0399,D004,2023-04-03,676919
S0400,C0400,V0400,D004,2023-11-28,1836570
S0401,C0401,V0401,D003,2024-10-24,1876288
S0402,C0402,V0402,D001,2024-01-20,845959
S0403,C0403,V0403,D001,2023-06-05,792675
S0404,C0404,V0404,D002,2024-10-04,1893677
S0405,C0405,V0405,D004,2023-02-02,1434041
S0406,C0406,V0406,D005,2023-04-22,2742100
S0407,C0407,V0407,D003,2024-01-02,1840872
S0408,C0408,V0408,D010,2023-03-13,1137586
S0409,C0409,V0409,D002,2024-03-18,1142820
S0410,C0410,V0410,D001,2023-12-07,1137019
S0411,C0411,V0411,D008,2024-08-12,781635
S0412,C0412,V0412,D009,2023-08-07,1865435
S0413,C0413,V0413,D008,2023-01-08,799836
S0414,C0414,V0414,D009,2024-06-18,670470
S0415,C0415,V0415,D010,2024-09-29,817770
S0416,C0416,V0416,D001,2023-01-08,723657
S0417,C0417,V0417,D002,2023-03-09,678067
S0418,C0418,V0418,D008,2023-08-25,2327315
S0419,C0419,V0419,D002,2023-02-17,815318
S0420,C0420,V0420,D004,2023-07-16,2782625
S0421,C0421,V0421,D001,2023-03-16,1140591
S0422,C0422,V0422,D009,2024-04-18,1157039
S0423,C0423,V0423,D009,2023-12-18,2725624
S0424,C0424,V0424,D006,2023-10-23,790396
S0425,C0425,V0425,D006,2023-08-03,2376073
S0426,C0426,V0426,D010,2024-07-30,857515
S0427,C0427,V0427,D002,2024-07-22,2379781
S0428,C0428,V0428,D005,2023-10-02,1884885
S0429,C0429,V0429,D004,2023-02-16,859141
S0430,C0430,V0430,D006,2024-08-08,2394933
S0431,C0431,V0431,D002,2024-04-13,2771641
S0432,C0432,V0432,D009,2023-02-11,713624
S0433,C0433,V0433,D004,2024-07-29,2758920
S0434,C0434,V0434,D001,2023-05-17,1376445
S0435,C0435,V0435,D002,2024-08-20,1173553
S0436,C0436,V0436,D008,2024-10-27,1829134
S0437,C0437,V0437,D008,2024-09-17,1452684
S0438,C0438,V0438,D006,2023-09-11,2780583
S0439,C0439,V0439,D009,2024-08-31,774042
S0440,C0440,V0440,D004,2024-07-10,1840821
S0441,C0441,V0441,D002,2023-09-12,1834764
S0442,C0442,V0442,D002,2024-10-31,1358005
S0443,C0443,V0443,D004,2023-05-01,1857429
S0444,C0444,V0444,D009,2023-03-04,1384840
S0445,C0445,V0445,D003,2024-04-11,676614
S0446,C0446,V0446,D001,2024-09-08,1427905
S0447,C0447,V0447,D009,2024-04-14,1164735
S0448,C0448,V0448,D007,2023-03-09,1369122
S0449,C0449,V0449,D003,2024-04-27,866398
S0450,C0450,V0450,D007,2024-09-29,777003
S0451,C0451,V0451,D001,2023-07-24,2352315
S0452,C0452,V0452,D006,2023-07-27,737068
S0453,C0453,V0453,D008,2023-11-15,1391236
S0454,C0454,V0454,D010,2023-12-18,715698
S0455,C0455,V0455,D007,2024-02-15,1480435
S0456,C0456,V0456,D007,2023-02-11,836562
S0457,C0457,V0457,D007,2024-01-05,1891831
S0458,C0458,V0458,D003,2024-11-14,765153
S0459,C0459,V0459,D009,2023-04-13,1885611
S0460,C0460,V0460,D010,2023-10-12,1353798
S0461,C0461,V0461,D006,2024-06-18,800720
S0462,C0462,V0462,D006,2024-12-13,1171025
S0463,C0463,V0463,D009,2023-11-21,843916
S0464,C0464,V0464,D004,2023-03-13,1375849
S0465,C0465,V0465,D008,2024-09-08,794893
S0466,C0466,V0466,D002,2023-07-05,744101
S0467,C0467,V0467,D001,2023-05-08,784297
S0468,C0468,V0468,D010,2023-09-29,741773
S0469,C0469,V0469,D010,2024-02-11,788673
S0470,C0470,V0470,D002,2023-09-06,1186282
S0471,C0471,V0471,D006,2024-05-28,1134020
S0472,C0472,V0472,D003,2023-02-19,857983
S0473,C0473,V0473,D009,2024-07-19,2768526
S0474,C0474,V0474,D005,2024-10-07,894975
S0475,C0475,V0475,D002,2024-06-22,1856026
S0476,C0476,V0476,D010,2024-08-12,701144
S0477,C0477,V0477,D003,2024-06-30,2755809
S0478,C0478,V0478,D008,2023-07-07,772436
S0479,C0479,V0479,D001,2023-01-19,759674
S0480,C0480,V0480,D002,2024-03-07,1143069
S0481,C0481,V0481,D008,2024-02-07,1162037
S0482,C0482,V0482,D009,2023-02-24,793449
S0483,C0483,V0483,D003,2023-03-25,708128
S0484,C0484,V0484,D010,2024-06-10,1873773
S0485,C0485,V0485,D002,2023-04-30,750253
S0486,C0486,V0486,D007,2023-08-22,844360
S0487,C0487,V0487,D008,2023-05-12,1472188
S0488,C0488,V0488,D003,2024-02-09,2763011
S0489,C0489,V0489,D004,2024-10-27,2744025
S0490,C0490,V0490,D002,2024-06-10,1378984
S0491,C0491,V0491,D001,2024-10-04,1488655
S0492,C0492,V0492,D004,2023-05-03,841542
S0493,C0493,V0493,D006,2023-10-16,1870306
S0494,C0494,V0494,D006,2024-03-22,1149271
S0495,C0495,V0495,D001,2023-03-16,1368075
S0496,C0496,V0496,D001,2023-12-18,1489619
S0497,C0497,V0497,D009,2023-08-29,2764025
S0498,C0498,V0498,D001,2023-03-06,732137
S0499,C0499,V0499,D008,2024-11-19,1456368
S0500,C0500,V0500,D002,2024-12-02,1332797
S0501,C0501,V0501,D003,2023-12-13,651846
S0502,C0502,V0502,D008,2023-11-21,841928
S0503,C0503,V0503,D008,2024-02-20,1477678
S0504,C0504,V0504,D006,2024-01-12,1325768
S0505,C0505,V0505,D003,2024-07-18,1166606
S0506,C0506,V0506,D005,2023-10-22,1188017
S0507,C0507,V0507,D009,2024-04-20,1832986
S0508,C0508,V0508,D010,2023-07-14,2353389
S0509,C0509,V0509,D003,2023-08-30,1385556
S0510,C0510,V0510,D007,2024-05-22,830883
S0511,C0511,V0511,D004,2024-09-29,1842991
S0512,C0512,V0512,D010,2024-07-15,696713
S0513,C0513,V0513,D009,2024-11-22,1469148
S0514,C0514,V0514,D008,2024-05-27,1129601
S0515,C0515,V0515,D004,2024-01-05,1354898
S0516,C0516,V0516,D002,2024-08-28,2780259
S0517,C0517,V0517,D009,2024-12-09,1431692
S0518,C0518,V0518,D008,2024-07-06,654229
S0519,C0519,V0519,D002,2024-10-03,1837143
S0520,C0520,V0520,D005,2023-01-08,738155
S0521,C0521,V0521,D005,2023-11-29,1129060
S0522,C0522,V0522,D009,2023-04-11,2755913
S0523,C0523,V0523,D007,2023-10-26,1343602
S0524,C0524,V0524,D002,2023-06-20,1192584
S0525,C0525,V0525,D007,2023-07-23,1194882
S0526,C0526,V0526,D009,2024-03-17,1427049
S0527,C0527,V0527,D004,2024-02-26,1366248
S0528,C0528,V0528,D008,2024-12-16,709254
S0529,C0529,V0529,D009,2023-06-29,2331165
S0530,C0530,V0530,D010,2024-12-16,1443195
S0531,C0531,V0531,D005,2024-09-03,1837033
S0532,C0532,V0532,D002,2023-12-26,860300
S0533,C0533,V0533,D007,2023-06-19,705551
S0534,C0534,V0534,D008,2024-07-24,1837643
S0535,C0535,V0535,D007,2024-10-25,1833431
S0536,C0536,V0536,D009,2024-09-14,1128905
S0537,C0537,V0537,D005,2023-10-22,719118
S0538,C0538,V0538,D009,2024-10-04,686417
S0539,C0539,V0539,D001,2023-03-27,1849175
S0540,C0540,V0540,D003,2023-04-01,2347037
S0541,C0541,V0541,D008,2024-01-06,696062
S0542,C0542,V0542,D005,2024-09-06,792202
S0543,C0543,V0543,D001,2024-10-03,1447547
S0544,C0544,V0544,D004,2023-04-08,1887337
